//SFPD Rooftop Objects
2949,-1609.6000000,704.0999800,48.0100000,0.0000000,0.0000000,0.0000000 ; //object(kmb_lockeddoor) (1)
2949,-1607.1368000,704.0999800,50.5350000,0.0000000,270.0000000,0.0000000 ; //object(kmb_lockeddoor) (2)
2949,-1607.1268000,704.0396700,49.0800000,270.0000000,270.0000000,0.0000000 ; //object(kmb_lockeddoor) (3)
2949,-1607.1136000,702.6790200,50.5000000,90.0000000,270.0000000,0.0000000 ; //object(kmb_lockeddoor) (4)
2949,-1607.1801000,704.1010100,48.1100000,0.0000000,0.0000000,0.0000000 ; //object(kmb_lockeddoor) (5)
3934,-1617.2000000,711.2999900,48.0000000,0.0000000,0.0000000,90.0000000 ; //object(helipad01) (1)
2649,-1605.2000000,707.0999800,48.4000000,0.0000000,0.0000000,90.0000000 ; //object(cj_aircon2) (1)
1697,-1635.6000000,694.2000100,49.4000000,0.0000000,0.0000000,180.0000000 ; //object(roofstuff16) (1)
1684,-1593.2000000,703.2999900,49.5000000,0.0000000,0.0000000,270.0000000 ; //object(portakabin) (1)
3496,-1617.0000000,691.4000200,47.9000000,0.0000000,0.0000000,0.0000000 ; //object(vgsxrefbballnet) (1)

//SFPD Interior Objects
2949,213.7000000,118.4000000,998.0000000,0.0000000,0.0000000,180.0000000 ; //object(kmb_lockeddoor) (6)

//Navy Base Objects
1437,-1320.3500000,484.6200000,6.6000100,10.0000000,0.0000000,0.0000000 ; //object(dyn_ladder_2) (1)
2165,-1316.7000000,490.8999900,10.2000000,0.0000000,0.0000000,0.0000000 ; //object(med_office_desk_1) (1)
1671,-1316.1000000,490.0000000,10.7000000,0.0000000,0.0000000,225.0000000 ; //object(swivelchair_a) (1)
16782,-1319.0000000,490.6000100,12.4000000,0.0000000,0.0000000,0.0000000 ; //object(a51_radar_scan) (1)
2047,-1315.7000000,488.3150000,12.2000000,0.0000000,0.0000000,180.0000000 ; //object(cj_flag1) (1)
2048,-1312.8000000,488.3150000,12.2000000,0.0000000,0.0000000,180.0000000 ; //object(cj_flag2) (1)
1808,-1314.2500000,488.4900200,10.1800000,0.0000000,0.0000000,180.0000000 ; //object(cj_watercooler2) (1)
2811,-1318.7000000,489.0000000,10.1800000,0.0000000,0.0000000,0.0000000 ; //object(gb_romanpot01) (1)
3066,-1305.4000000,491.2000100,11.2000000,0.0000000,0.0000000,90.0000000 ; //object(ammotrn_obj) (1)
2359,-1318.8000000,492.2999900,10.4000000,0.0000000,0.0000000,135.0000000 ; //object(ammo_box_c5) (1)
